Loyalty,Recency,Frequency,Monetary,Discount,Cluster
2706,1,70,73564.65999999996,0.961639043,2
2597,7,70,73564.65999999996,1.25231444,2
2615,11,70,73564.65999999996,1.254675516,2
2047,97,23,73564.65999999996,1.090869565,2
1816,5,70,73564.65999999996,0.970657895,2
2241,79,70,73564.65999999996,0.967692483,2
2931,1,70,73564.65999999996,0.965346535,2
1452,3,70,73564.65999999996,0.962070222,2
1028,6,56,73564.65999999996,0.828478237,2
1365,15,64,73564.65999999996,0.7080101529999999,2
1229,22,43,73564.65999999996,0.988658044,2
3326,6,70,73564.65999999996,0.95253487,2
2685,67,29,73564.65999999996,0.799126984,2
2714,3,70,73564.65999999996,1.398381742,2
1519,2,50,73564.65999999996,0.921984841,2
2194,65,22,73564.65999999996,1.026084586,2
1355,7,70,73564.65999999996,1.3865249,2
1237,45,40,73564.65999999996,0.8378442429999999,2
2916,2,64,73564.65999999996,1.401596264,2
945,24,38,73564.65999999996,0.70828541,2
2070,4,70,73564.65999999996,1.369404116,2
1028,6,23,73564.65999999996,1.061630924,2
3277,23,70,73564.65999999996,0.741803833,2
1448,74,20,73564.65999999996,1.004904443,2
1506,17,44,73564.65999999996,0.7873084440000001,2
1264,17,62,73564.65999999996,0.902990019,2
2615,3,70,73564.65999999996,1.146354614,2
3326,11,70,73564.65999999996,1.41,2
3005,18,70,73564.65999999996,1.33816985,2
2114,11,70,73564.65999999996,1.41,2
2911,2,53,73564.65999999996,1.41,2
3326,8,70,73564.65999999996,1.41,2
3276,16,70,73564.65999999996,0.944884271,2
2933,3,70,73564.65999999996,1.3986401940000002,2
2677,3,47,73564.65999999996,0.725685618,2
1630,108,25,73564.65999999996,0.937899941,2
3326,34,24,73564.65999999996,1.087220053,2
2923,125,54,73564.65999999996,1.41,2
2519,1,70,73564.65999999996,0.890172305,2
1858,34,70,73564.65999999996,1.41,2
2897,2,70,73564.65999999996,1.41,2
1168,3,35,73564.65999999996,0.998554546,2
2643,3,70,73564.65999999996,1.3969850069999998,2
1427,13,46,73564.65999999996,0.764737193,2
3326,38,54,73564.65999999996,1.20853437,2
1206,22,21,73564.65999999996,1.029507529,2
626,1,70,73564.65999999996,1.015978367,2
2815,7,70,73564.65999999996,1.356053179,2
3326,2,70,73564.65999999996,1.3989924230000002,2
1355,304,70,73564.65999999996,0.863479447,2
2140,1,70,73564.65999999996,0.802633323,2
813,4,70,73564.65999999996,1.41,2
2690,11,29,73564.65999999996,0.8888699859999999,2
2303,1,48,73564.65999999996,1.408197795,2
2460,1,68,73564.65999999996,1.349375212,2
3326,4,70,73564.65999999996,0.828452854,2
2317,22,69,73564.65999999996,1.3549435669999998,2
2249,4,70,73564.65999999996,0.867522349,2
3326,15,55,73564.65999999996,1.146000598,2
3326,21,70,73564.65999999996,0.819187329,2
3326,15,68,73564.65999999996,1.380410335,2
3326,1,70,73564.65999999996,1.288018381,2
1391,6,70,73564.65999999996,0.938031056,2
1052,14,70,73564.65999999996,0.848239546,2
1403,8,30,73564.65999999996,1.057257212,2
3152,19,70,73564.65999999996,1.41,2
2328,88,32,73564.65999999996,0.944650121,2
1360,19,34,73564.65999999996,1.013669976,2
1248,1,70,73564.65999999996,0.620507614,2
1933,7,30,73564.65999999996,0.928504294,2
593,62,18,65315.0,0.8118710790000001,2
1624,19,64,73564.65999999996,1.236256939,2
831,4,70,66342.0,0.774487057,2
2325,13,61,73564.65999999996,1.183962818,2
1265,36,36,73564.65999999996,0.8061770690000001,2
1325,22,22,73564.65999999996,0.992454374,2
381,29,23,73564.65999999996,0.995539285,2
1026,18,16,73564.65999999996,1.019520072,2
1252,8,70,73564.65999999996,1.179368992,2
3083,6,70,73564.65999999996,1.034587737,2
640,6,30,73564.65999999996,0.782406571,2
2818,12,70,73564.65999999996,0.956332827,2
2019,2,56,73564.65999999996,1.394863786,2
705,1,70,73564.65999999996,0.777341772,2
3326,9,70,73564.65999999996,1.036667137,2
3326,2,70,73564.65999999996,0.784701427,2
2884,7,64,73564.65999999996,1.3912993059999998,2
1367,13,51,73564.65999999996,1.165835855,2
2468,144,29,73564.65999999996,1.0178590440000002,2
2369,1,69,73564.65999999996,1.3874902919999998,2
2117,15,70,73564.65999999996,1.281481989,2
1155,15,42,73564.65999999996,0.966069448,2
2621,10,70,73564.65999999996,1.41,2
2680,14,67,73564.65999999996,1.265322199,2
1448,53,12,73564.65999999996,1.059166667,2
3326,4,70,73564.65999999996,0.952273652,2
3111,11,69,73564.65999999996,1.297050351,2
1082,34,17,73564.65999999996,1.226505277,2
3326,9,12,73564.65999999996,1.046666667,2
703,4,54,73564.65999999996,1.053910364,2
2072,21,70,73564.65999999996,1.228445376,2
2030,5,70,73564.65999999996,1.41,2
702,17,53,73564.65999999996,1.046215562,2
2644,17,70,73564.65999999996,1.118316089,2
1405,11,48,73564.65999999996,1.001144569,2
3082,3,70,73564.65999999996,1.390945611,2
1898,9,56,73564.65999999996,1.41,2
3282,4,70,73564.65999999996,0.7832398290000001,2
929,15,35,73564.65999999996,0.894261083,2
904,63,33,73564.65999999996,0.85318887,2
3139,7,70,73564.65999999996,0.835532119,2
1230,44,31,55717.0,0.723434195,2
2680,29,53,73564.65999999996,1.41,2
2496,14,21,73564.65999999996,0.925114251,2
662,27,16,50990.0,0.75375,2
3326,3,70,73564.65999999996,0.946174922,2
3326,22,70,73564.65999999996,1.225504039,2
2046,2,70,73564.65999999996,0.873661907,2
1424,4,70,73564.65999999996,0.978068228,2
3167,11,70,73564.65999999996,1.41,2
3326,2,70,73564.65999999996,0.8969661870000001,2
3302,27,40,69512.0,0.731685018,2
2131,11,52,73564.65999999996,1.41,2
3014,10,65,73564.65999999996,1.210876087,2
3264,3,34,73564.65999999996,0.951756044,2
2786,6,70,73564.65999999996,0.960765569,2
868,24,65,73564.65999999996,1.318943707,2
466,23,18,73564.65999999996,0.982511386,2
2488,4,66,73564.65999999996,1.39722054,2
2905,2,52,73564.65999999996,1.3569867919999998,2
1112,38,27,73564.65999999996,0.780547269,2
3326,1,70,73564.65999999996,0.6756097790000001,2
643,6,65,73564.65999999996,0.764,2
719,59,14,68775.0,0.97367319,2
1624,11,24,58025.0,0.658633893,2
1269,17,70,73564.65999999996,0.787337009,2
2110,8,57,73564.65999999996,1.41,2
1599,12,70,18861.0,0.996902945,2
393,16,19,73564.65999999996,0.897522308,2
2832,24,70,73564.65999999996,0.988949912,2
2190,7,70,73564.65999999996,1.41,2
3326,22,70,73564.65999999996,0.8176859540000001,2
3326,4,64,73564.65999999996,1.41,2
3285,3,70,73564.65999999996,0.6743815809999999,2
1677,1,31,73564.65999999996,1.41,2
3057,5,70,73564.65999999996,1.065611103,2
698,17,70,73564.65999999996,0.843554751,2
1828,18,19,46650.0,0.681331859,2
1761,25,70,73564.65999999996,0.7902875509999999,2
2907,1,45,73564.65999999996,1.154155854,2
2519,135,19,73564.65999999996,0.988910129,2
1404,184,22,72620.0,0.993493225,2
1555,15,70,73564.65999999996,1.277942503,2
2653,6,70,73564.65999999996,1.255920537,2
1331,12,70,73564.65999999996,0.744693267,2
1333,157,17,70744.0,0.931991388,2
2754,9,39,73564.65999999996,1.374724556,2
2156,11,70,73564.65999999996,1.295748779,2
3326,11,70,73564.65999999996,0.8431856670000001,2
3326,7,70,73564.65999999996,0.75433474,2
2609,23,70,73564.65999999996,1.41,2
3326,6,70,73564.65999999996,0.843179595,2
2699,13,70,73564.65999999996,0.802227557,2
1167,15,58,73564.65999999996,1.41,2
2808,8,70,73564.65999999996,0.914492693,2
2821,9,70,73564.65999999996,0.720028487,2
1538,1,70,73564.65999999996,0.602317149,2
3326,8,70,73564.65999999996,0.841613512,2
1097,121,14,73564.65999999996,1.040394289,2
1508,2,70,73564.65999999996,0.836742487,2
930,49,70,73564.65999999996,1.380177417,2
2606,3,55,73564.65999999996,1.369523774,2
922,4,70,73564.65999999996,1.407186108,2
3326,16,40,73564.65999999996,0.926317142,2
2997,7,70,73564.65999999996,0.702883928,2
380,23,14,69575.0,1.016463224,2
1130,30,24,73564.65999999996,1.026238631,2
1054,18,13,68293.0,1.014545871,2
2672,2,70,73564.65999999996,0.843447435,2
3316,3,68,73564.65999999996,1.085817147,2
3287,8,70,73564.65999999996,0.786706177,2
721,2,70,73564.65999999996,1.41,2
